time,open,high,low,close
2025-04-09 12:00:00,37625.3,37689.6,37387.9,37445.4
2025-04-09 13:00:00,37445.4,37583.1,37183.9,37338.4
2025-04-09 14:00:00,37351.1,37351.1,36758.9,36921.5
2025-04-09 15:00:00,36921.5,37202.4,36715.2,37066.9
2025-04-09 16:00:00,37066.9,37869.0,37064.1,37792.6
2025-04-09 17:00:00,37787.3,38000.3,37300.9,37311.0
2025-04-09 18:00:00,37312.1,37821.3,37307.8,37555.1
2025-04-09 19:00:00,37555.6,38026.3,37463.8,37931.3
2025-04-09 20:00:00,37931.1,40334.1,37637.8,40163.3
2025-04-09 21:00:00,40163.9,40488.3,39839.8,39861.1
2025-04-09 22:00:00,39857.5,40803.2,39790.9,40570.9
2025-04-09 23:00:00,40592.1,40824.2,40562.0,40798.8
2025-04-10 01:00:00,40715.08,40873.9,40636.9,40849.8
2025-04-10 02:00:00,40848.3,40909.5,40811.9,40866.3
2025-04-10 03:00:00,40863.8,40891.5,40658.3,40774.6
2025-04-10 04:00:00,40774.5,40824.8,40550.0,40627.0
2025-04-10 05:00:00,40627.0,40644.1,40543.9,40554.8
2025-04-10 06:00:00,40553.7,40588.3,40453.7,40561.3
2025-04-10 07:00:00,40561.5,40569.0,40439.3,40462.1
2025-04-10 08:00:00,40462.7,40571.0,40398.8,40555.5
2025-04-10 09:00:00,40558.0,40620.2,40435.8,40540.2
2025-04-10 10:00:00,40540.2,40673.8,40018.3,40078.2
2025-04-10 11:00:00,40079.8,40177.3,39862.9,39939.1
2025-04-10 12:00:00,39938.3,40072.8,39837.2,39955.8
2025-04-10 13:00:00,39959.7,40257.3,39947.0,40053.8
2025-04-10 14:00:00,40055.1,40165.0,39985.8,40121.7
2025-04-10 15:00:00,40121.5,40261.7,39861.0,40000.8
2025-04-10 16:00:00,39999.0,40134.7,39623.1,39721.8
2025-04-10 17:00:00,39719.3,39866.7,39488.6,39503.4
2025-04-10 18:00:00,39500.1,39660.3,38984.6,39023.8
2025-04-10 19:00:00,39023.7,39117.2,38394.6,39060.7
2025-04-10 20:00:00,39060.6,39504.0,38606.8,39419.0
2025-04-10 21:00:00,39419.0,39809.3,39185.2,39575.3
2025-04-10 22:00:00,39577.5,39796.2,39071.0,39554.9
2025-04-10 23:00:00,39517.8,39696.0,39468.7,39556.3
2025-04-11 01:00:00,39565.9,39749.3,39518.9,39629.2
2025-04-11 02:00:00,39630.9,39658.0,39336.9,39411.9
2025-04-11 03:00:00,39407.1,39432.0,38993.5,39089.3
2025-04-11 04:00:00,39087.8,39357.4,39047.7,39336.2
2025-04-11 05:00:00,39334.2,39443.7,39179.7,39333.9
2025-04-11 06:00:00,39335.9,39622.3,39335.5,39524.2
2025-04-11 07:00:00,39524.4,39661.1,39524.4,39604.4
2025-04-11 08:00:00,39608.4,39925.5,39522.9,39902.1
2025-04-11 09:00:00,39905.9,40041.9,39802.4,39823.9
2025-04-11 10:00:00,39823.9,39859.1,39576.4,39592.6
2025-04-11 11:00:00,39596.8,39665.2,39248.4,39343.7
2025-04-11 12:00:00,39342.4,39791.2,39304.9,39786.2
2025-04-11 13:00:00,39785.2,39913.0,39702.9,39831.2
2025-04-11 14:00:00,39832.7,39874.0,39523.6,39684.1
2025-04-11 15:00:00,39682.4,39866.5,39615.4,39632.7
2025-04-11 16:00:00,39632.7,39815.2,39236.9,39649.3
2025-04-11 17:00:00,39648.9,39801.3,39245.9,39416.8
2025-04-11 18:00:00,39416.8,39716.2,39243.4,39671.6
2025-04-11 19:00:00,39671.1,40085.9,39606.6,40014.1
2025-04-11 20:00:00,40015.1,40395.9,39840.4,40256.9
2025-04-11 21:00:00,40256.6,40280.9,40033.9,40071.7
2025-04-11 22:00:00,40067.9,40313.9,40064.7,40177.7
2025-04-11 23:00:00,40176.2,40257.4,40169.6,40230.9
2025-04-14 01:00:00,40494.28,40578.9,40222.9,40260.9
2025-04-14 02:00:00,40264.9,40433.9,40234.9,40344.9
2025-04-14 03:00:00,40344.9,40402.9,40270.9,40292.9
2025-04-14 04:00:00,40291.9,40334.9,40212.9,40285.9
2025-04-14 05:00:00,40285.9,40368.9,40277.9,40354.9
