time,open,high,low,close,tick_volume,spread,real_volume,atr,label,label_name
2025-12-01,47719.4,47737.9,47275.7,47304.2,161167,0,0,641.0928571428578,0,NEUTRAL
2025-12-02,47292.1,47604.3,47203.6,47488.3,150973,0,0,633.3357142857151,0,NEUTRAL
2025-12-03,47502.3,48017.7,47370.3,47982.2,140871,0,0,608.0214285714288,0,NEUTRAL
2025-12-04,47927.9,48059.6,47687.5,47839.5,138734,0,0,584.3642857142856,1,UP
2025-12-05,47851.9,48130.0,47760.1,47955.7,127871,70,0,549.057142857143,1,UP
2025-12-08,47988.0,48006.5,47608.8,47751.8,119495,0,0,522.692857142857,1,UP
2025-12-09,47733.6,47954.8,47527.3,47538.8,132821,0,0,524.4071428571426,1,UP
2025-12-10,47551.9,48196.1,47453.1,48106.6,156581,0,0,495.37142857142834,1,UP
2025-12-11,48118.5,48780.2,47814.5,48771.2,173887,0,0,501.94285714285695,2,RISK
2025-12-12,48824.6,48879.5,48325.0,48493.3,175508,0,0,506.6571428571427,2,RISK
2025-12-15,48474.0,48720.0,48272.5,48437.0,167692,0,0,477.7142857142857,2,RISK
2025-12-16,48445.0,48517.1,47933.5,48074.4,198056,0,0,486.37142857142834,0,NEUTRAL
2025-12-17,48086.4,48385.6,47863.4,47954.9,203048,0,0,516.4857142857135,1,UP
2025-12-18,47923.9,48386.7,47804.4,47904.4,207059,0,0,534.0214285714277,1,UP
2025-12-19,47890.9,48295.2,47787.5,48150.0,151183,0,0,537.2714285714272,0,NEUTRAL
2025-12-22,48229.6,48455.7,48123.8,48344.2,97688,0,0,532.3571428571407,0,NEUTRAL
2025-12-23,48348.2,48531.5,48206.7,48414.4,79849,0,0,509.31428571428427,0,NEUTRAL
2025-12-24,48414.0,48772.4,48369.9,48706.4,44693,100,0,511.48571428571296,2,RISK
2025-12-26,48731.7,48778.2,48569.6,48702.6,70055,0,0,499.96428571428413,2,RISK
2025-12-29,48713.3,48762.8,48384.4,48480.2,96330,0,0,498.58571428571304,2,RISK
2025-12-30,48488.8,48491.8,48297.2,48396.4,83348,100,0,481.9499999999992,2,RISK
2025-12-31,48412.0,48417.0,48037.8,48076.8,86661,100,0,455.9642857142847,1,UP
2026-01-02,48109.1,48403.8,47817.6,48351.3,144704,0,0,428.8571428571423,1,UP
2026-01-05,48386.3,49214.1,48319.8,48972.1,138947,0,0,453.1285714285706,0,NEUTRAL
2026-01-06,48982.6,49017.6,48846.1,48861.6,20816,0,0,433.41428571428486,0,NEUTRAL
